created_at,Temperature,Humidity,MQ7_analog,MQ9_analog,MG811_analog,MQ135_analog,CO2
2023-05-01 03:30:00,27.79,74.39,3122.0,3854.0,3867.0,3506.0,617.5
2023-05-01 03:31:00,27.795,74.33500000000001,3110.0,3842.5,3865.5,3499.5,610.0
2023-05-01 03:32:00,27.81,74.295,3112.5,3845.5,3868.5,3504.5,604.0
2023-05-01 03:33:00,27.795,74.245,3120.0,3853.5,3876.5,3512.0,609.0
2023-05-01 03:34:00,27.810000000000002,74.245,3109.5,3838.0,3873.5,3516.5,617.0
2023-05-01 03:35:00,27.83,74.22999999999999,3125.0,3858.5,3882.0,3528.0,621.0
2023-05-01 03:36:00,27.825,74.25,3137.5,3860.0,3889.5,3539.5,618.0
2023-05-01 03:37:00,27.82,74.28,3159.0,3886.0,3912.0,3561.0,611.0
2023-05-01 03:38:00,27.835,74.18,3320.0,4047.5,4068.5,3735.5,615.0
2023-05-01 03:39:00,27.855,74.155,3319.0,4041.0,4062.5,3740.5,615.0
2023-05-01 03:40:00,27.880000000000003,74.16499999999999,3320.5,4052.0,4068.0,3745.0,609.5
2023-05-01 03:41:00,27.91,74.17333333333333,3252.3333333333335,3985.3333333333335,3999.6666666666665,3667.3333333333335,614.0
2023-05-01 03:42:00,27.945,74.14,3256.0,3994.0,4015.5,3681.0,618.5
2023-05-01 03:43:00,27.955,73.97,3259.5,3988.5,4009.5,3671.0,613.5
2023-05-01 03:44:00,27.990000000000002,73.88,3278.0,4011.0,4025.5,3694.0,615.5
2023-05-01 03:45:00,28.02,73.62,3282.5,4010.0,4031.0,3697.5,615.0
2023-05-01 03:46:00,28.005000000000003,73.50999999999999,3314.5,4037.0,4051.0,3727.5,613.0
2023-05-01 03:47:00,27.99,73.50999999999999,3341.0,4060.5,4068.0,3737.5,619.0
2023-05-01 03:48:00,27.975,73.46000000000001,3325.0,4053.0,4065.0,3751.5,617.5
2023-05-01 03:49:00,27.98,73.38499999999999,3345.5,4075.0,4083.5,3767.0,618.0
2023-05-01 03:50:00,27.979999999999997,73.485,3370.0,4184.0,4083.5,3803.0,625.0
2023-05-01 03:51:00,27.975,73.515,3400.5,4225.0,4083.5,3847.5,630.5
2023-05-01 03:52:00,27.975,73.515,3347.0,4159.5,4066.0,3810.5,637.0
2023-05-01 03:53:00,27.97,73.495,3350.0,4131.0,4079.5,3806.0,641.0
2023-05-01 03:54:00,27.99,73.5,3281.5,4064.5,4063.5,3776.5,647.5
2023-05-01 03:55:00,27.935000000000002,73.32,3314.0,4070.5,4052.5,3755.0,643.5
2023-05-01 03:56:00,27.89,73.43666666666667,3298.3333333333335,4044.3333333333335,4038.3333333333335,3739.6666666666665,644.0
2023-05-01 03:57:00,27.85,73.61500000000001,3288.0,4027.0,4017.0,3725.0,649.0
2023-05-01 03:58:00,27.875,73.53999999999999,3301.5,4042.5,4032.0,3740.5,650.5
2023-05-01 03:59:00,27.87,73.62,3313.0,4045.5,4041.5,3742.0,652.5
2023-05-01 04:00:00,27.905,73.595,3306.0,4043.0,4041.0,3740.5,648.5
2023-05-01 04:01:00,27.9,73.57499999999999,3307.0,4038.0,4041.0,3745.0,647.0
2023-05-01 04:02:00,27.9,73.63,3332.0,4060.0,4055.0,3762.5,645.0
2023-05-01 04:03:00,27.9,73.6,3322.0,4059.0,4057.0,3773.0,649.5
2023-05-01 04:04:00,27.945,73.63499999999999,3356.0,4092.5,4079.5,3795.0,655.5
2023-05-01 04:05:00,27.96,73.62,3372.0,4104.0,4087.0,3815.0,654.5
2023-05-01 04:06:00,27.98,73.57499999999999,3379.0,4105.5,4091.0,3813.5,646.5
