ID,SHOW,STATE,TIME
"1" ,"0" ,"NOMAL" ,"2023/05/02 23:58:17" 
"2" ,"0" ,"NOMAL" ,"2023/05/02 23:58:48" 
"3" ,"0" ,"NOMAL" ,"2023/05/02 23:59:19" 
"4" ,"0" ,"NOMAL" ,"2023/05/02 23:59:50" 
"5" ,"0" ,"NOMAL" ,"2023/05/03 00:00:21" 
"6" ,"0" ,"NOMAL" ,"2023/05/03 00:00:52" 
"7" ,"0" ,"NOMAL" ,"2023/05/03 00:01:23" 
"8" ,"0" ,"NOMAL" ,"2023/05/03 00:01:54" 
"9" ,"0" ,"NOMAL" ,"2023/05/03 00:02:25" 
"10" ,"0" ,"NOMAL" ,"2023/05/03 00:02:56" 
"11" ,"0" ,"NOMAL" ,"2023/05/03 00:03:27" 
"12" ,"0" ,"NOMAL" ,"2023/05/03 00:03:58" 
"13" ,"0" ,"NOMAL" ,"2023/05/03 00:04:29" 
"14" ,"0" ,"NOMAL" ,"2023/05/03 00:05:00" 
"15" ,"0" ,"NOMAL" ,"2023/05/03 00:05:31" 
"16" ,"0" ,"NOMAL" ,"2023/05/03 00:06:02" 
"17" ,"0" ,"NOMAL" ,"2023/05/03 00:06:33" 
"18" ,"0" ,"NOMAL" ,"2023/05/03 00:07:04" 
"19" ,"0" ,"NOMAL" ,"2023/05/03 00:07:35" 
"20" ,"0" ,"NOMAL" ,"2023/05/03 00:08:06" 
"21" ,"0" ,"NOMAL" ,"2023/05/03 00:08:37" 
"22" ,"0" ,"NOMAL" ,"2023/05/03 00:09:08" 
"23" ,"0" ,"NOMAL" ,"2023/05/03 00:09:39" 
"24" ,"0" ,"NOMAL" ,"2023/05/03 00:10:10" 
"25" ,"0" ,"NOMAL" ,"2023/05/03 00:10:41" 
"26" ,"0" ,"NOMAL" ,"2023/05/03 00:11:12" 
"27" ,"0" ,"NOMAL" ,"2023/05/03 00:11:43" 
"28" ,"0" ,"NOMAL" ,"2023/05/03 00:12:14" 
"29" ,"0" ,"NOMAL" ,"2023/05/03 00:12:45" 
"30" ,"0" ,"NOMAL" ,"2023/05/03 00:13:16" 
"31" ,"0" ,"NOMAL" ,"2023/05/03 00:13:47" 
"32" ,"0" ,"NOMAL" ,"2023/05/03 00:14:18" 
"33" ,"0" ,"NOMAL" ,"2023/05/03 00:14:49" 
"34" ,"0" ,"NOMAL" ,"2023/05/03 00:15:20" 
"35" ,"0" ,"NOMAL" ,"2023/05/03 00:15:51" 
"36" ,"0" ,"NOMAL" ,"2023/05/03 00:16:22" 
"37" ,"0" ,"NOMAL" ,"2023/05/03 00:16:53" 
"38" ,"0" ,"NOMAL" ,"2023/05/03 00:17:24" 
"39" ,"0" ,"NOMAL" ,"2023/05/03 00:17:55" 
"40" ,"0" ,"NOMAL" ,"2023/05/03 00:18:26" 
"41" ,"0" ,"NOMAL" ,"2023/05/03 00:18:57" 
"42" ,"0" ,"NOMAL" ,"2023/05/03 00:19:28" 
"43" ,"0" ,"NOMAL" ,"2023/05/03 00:19:59" 
"44" ,"0" ,"NOMAL" ,"2023/05/03 00:20:30" 
"45" ,"0" ,"NOMAL" ,"2023/05/03 00:21:01" 
"46" ,"0" ,"NOMAL" ,"2023/05/03 00:21:32" 
"47" ,"0" ,"NOMAL" ,"2023/05/03 00:22:03" 
"48" ,"0" ,"NOMAL" ,"2023/05/03 00:22:34" 
"49" ,"0" ,"NOMAL" ,"2023/05/03 00:23:05" 
"50" ,"0" ,"NOMAL" ,"2023/05/03 00:23:36" 
"51" ,"0" ,"NOMAL" ,"2023/05/03 00:24:07" 
"52" ,"0" ,"NOMAL" ,"2023/05/03 00:24:38" 
"53" ,"0" ,"NOMAL" ,"2023/05/03 00:25:09" 
"54" ,"0" ,"NOMAL" ,"2023/05/03 00:25:40" 
"55" ,"0" ,"NOMAL" ,"2023/05/03 00:26:11" 
"56" ,"0" ,"NOMAL" ,"2023/05/03 00:26:42" 
"57" ,"0" ,"NOMAL" ,"2023/05/03 00:27:13" 
"58" ,"0" ,"NOMAL" ,"2023/05/03 00:27:44" 
"59" ,"0" ,"NOMAL" ,"2023/05/03 00:28:15" 
"60" ,"0" ,"NOMAL" ,"2023/05/03 00:28:46" 
"61" ,"0" ,"NOMAL" ,"2023/05/03 00:29:17" 
"62" ,"0" ,"NOMAL" ,"2023/05/03 00:29:48" 
"63" ,"0" ,"NOMAL" ,"2023/05/03 00:30:19" 
"64" ,"0" ,"NOMAL" ,"2023/05/03 00:30:50" 
"65" ,"0" ,"NOMAL" ,"2023/05/03 00:31:21" 
"66" ,"0" ,"NOMAL" ,"2023/05/03 00:31:52" 
"67" ,"0" ,"NOMAL" ,"2023/05/03 00:32:23" 
