ID,SHOW,STATE,TIME
"492" ,"605" ,"NOMAL" ,"2023/05/04 00:56:31" 
"493" ,"598" ,"NOMAL" ,"2023/05/04 00:57:02" 
"494" ,"596" ,"NOMAL" ,"2023/05/04 00:57:33" 
"495" ,"596" ,"NOMAL" ,"2023/05/04 00:58:04" 
"496" ,"599" ,"NOMAL" ,"2023/05/04 00:58:35" 
"497" ,"602" ,"NOMAL" ,"2023/05/04 00:59:06" 
"498" ,"600" ,"NOMAL" ,"2023/05/04 00:59:37" 
"499" ,"598" ,"NOMAL" ,"2023/05/04 01:00:08" 
"500" ,"601" ,"NOMAL" ,"2023/05/04 01:00:39" 
"501" ,"600" ,"NOMAL" ,"2023/05/04 01:01:10" 
"502" ,"600" ,"NOMAL" ,"2023/05/04 01:01:41" 
"503" ,"623" ,"NOMAL" ,"2023/05/04 01:02:12" 
"504" ,"607" ,"NOMAL" ,"2023/05/04 01:02:43" 
"505" ,"604" ,"NOMAL" ,"2023/05/04 01:03:14" 
"506" ,"604" ,"NOMAL" ,"2023/05/04 01:03:45" 
"507" ,"603" ,"NOMAL" ,"2023/05/04 01:04:16" 
"508" ,"608" ,"NOMAL" ,"2023/05/04 01:04:47" 
"509" ,"616" ,"NOMAL" ,"2023/05/04 01:05:18" 
"510" ,"609" ,"NOMAL" ,"2023/05/04 01:05:49" 
"511" ,"606" ,"NOMAL" ,"2023/05/04 01:06:20" 
"512" ,"604" ,"NOMAL" ,"2023/05/04 01:06:51" 
"513" ,"603" ,"NOMAL" ,"2023/05/04 01:07:22" 
"514" ,"606" ,"NOMAL" ,"2023/05/04 01:07:53" 
"515" ,"605" ,"NOMAL" ,"2023/05/04 01:08:24" 
"516" ,"604" ,"NOMAL" ,"2023/05/04 01:08:55" 
"517" ,"608" ,"NOMAL" ,"2023/05/04 01:09:26" 
"518" ,"605" ,"NOMAL" ,"2023/05/04 01:09:57" 
"519" ,"604" ,"NOMAL" ,"2023/05/04 01:10:28" 
"520" ,"602" ,"NOMAL" ,"2023/05/04 01:10:59" 
"521" ,"603" ,"NOMAL" ,"2023/05/04 01:11:30" 
"522" ,"602" ,"NOMAL" ,"2023/05/04 01:12:01" 
"523" ,"602" ,"NOMAL" ,"2023/05/04 01:12:32" 
"524" ,"601" ,"NOMAL" ,"2023/05/04 01:13:03" 
"525" ,"601" ,"NOMAL" ,"2023/05/04 01:13:34" 
"526" ,"602" ,"NOMAL" ,"2023/05/04 01:14:05" 
"527" ,"604" ,"NOMAL" ,"2023/05/04 01:14:36" 
"528" ,"603" ,"NOMAL" ,"2023/05/04 01:15:07" 
"529" ,"604" ,"NOMAL" ,"2023/05/04 01:15:38" 
"530" ,"601" ,"NOMAL" ,"2023/05/04 01:16:09" 
"531" ,"599" ,"NOMAL" ,"2023/05/04 01:16:40" 
"532" ,"602" ,"NOMAL" ,"2023/05/04 01:17:11" 
"533" ,"603" ,"NOMAL" ,"2023/05/04 01:17:42" 
"534" ,"606" ,"NOMAL" ,"2023/05/04 01:18:13" 
"535" ,"609" ,"NOMAL" ,"2023/05/04 01:18:44" 
"536" ,"603" ,"NOMAL" ,"2023/05/04 01:19:15" 
"537" ,"606" ,"NOMAL" ,"2023/05/04 01:19:46" 
"538" ,"608" ,"NOMAL" ,"2023/05/04 01:20:17" 
"539" ,"605" ,"NOMAL" ,"2023/05/04 01:20:48" 
"540" ,"601" ,"NOMAL" ,"2023/05/04 01:21:19" 
"541" ,"601" ,"NOMAL" ,"2023/05/04 01:21:50" 
"542" ,"604" ,"NOMAL" ,"2023/05/04 01:22:21" 
"543" ,"604" ,"NOMAL" ,"2023/05/04 01:22:52" 
"544" ,"603" ,"NOMAL" ,"2023/05/04 01:23:23" 
"545" ,"602" ,"NOMAL" ,"2023/05/04 01:23:54" 
"546" ,"601" ,"NOMAL" ,"2023/05/04 01:24:25" 
"547" ,"601" ,"NOMAL" ,"2023/05/04 01:24:56" 
"548" ,"601" ,"NOMAL" ,"2023/05/04 01:25:27" 
"549" ,"601" ,"NOMAL" ,"2023/05/04 01:25:58" 
"550" ,"601" ,"NOMAL" ,"2023/05/04 01:26:29" 
"551" ,"603" ,"NOMAL" ,"2023/05/04 01:27:00" 
"552" ,"604" ,"NOMAL" ,"2023/05/04 01:27:31" 
"553" ,"605" ,"NOMAL" ,"2023/05/04 01:28:02" 
"554" ,"604" ,"NOMAL" ,"2023/05/04 01:28:33" 
"555" ,"609" ,"NOMAL" ,"2023/05/04 01:29:04" 
"556" ,"611" ,"NOMAL" ,"2023/05/04 01:29:35" 
"557" ,"607" ,"NOMAL" ,"2023/05/04 01:30:06" 
"558" ,"607" ,"NOMAL" ,"2023/05/04 01:30:37" 
"559" ,"606" ,"NOMAL" ,"2023/05/04 01:31:08" 
"560" ,"608" ,"NOMAL" ,"2023/05/04 01:31:39" 
"561" ,"605" ,"NOMAL" ,"2023/05/04 01:32:10" 
"562" ,"604" ,"NOMAL" ,"2023/05/04 01:32:41" 
"563" ,"605" ,"NOMAL" ,"2023/05/04 01:33:12" 
"564" ,"605" ,"NOMAL" ,"2023/05/04 01:33:43" 
"565" ,"604" ,"NOMAL" ,"2023/05/04 01:34:14" 
"566" ,"606" ,"NOMAL" ,"2023/05/04 01:34:45" 
"567" ,"609" ,"NOMAL" ,"2023/05/04 01:35:16" 
"568" ,"608" ,"NOMAL" ,"2023/05/04 01:35:47" 
"569" ,"612" ,"NOMAL" ,"2023/05/04 01:36:18" 
"570" ,"611" ,"NOMAL" ,"2023/05/04 01:36:49" 
