created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2023-05-05T19:26:33+00:00,1,29.31,70.58,10774.00,6140.00,4163.00,4520.00,0,1,,,,
2023-05-05T19:27:02+00:00,2,29.36,70.15,9650.00,8022.00,4970.00,5010.00,0,1,,,,
2023-05-05T19:27:31+00:00,3,29.39,69.88,8729.00,7668.00,5072.00,4755.00,0,1,,,,
2023-05-05T19:28:00+00:00,4,29.43,69.89,8189.00,7443.00,4470.00,4224.00,0,1,,,,
2023-05-05T19:28:29+00:00,5,29.47,69.79,7571.00,6996.00,4464.00,4338.00,0,1,,,,
2023-05-05T19:28:58+00:00,6,29.49,69.61,7409.00,6874.00,4454.00,4285.00,0,1,,,,
2023-05-05T19:29:27+00:00,7,29.51,69.35,7441.00,6882.00,4526.00,4508.00,0,1,,,,
2023-05-05T19:29:56+00:00,8,29.53,69.18,7330.00,6778.00,4475.00,4462.00,0,1,,,,
2023-05-05T19:30:25+00:00,9,29.54,69.15,7248.00,6710.00,4454.00,4459.00,0,1,,,,
2023-05-05T19:30:54+00:00,10,29.57,69.09,7169.00,6630.00,4422.00,4444.00,0,1,,,,
2023-05-05T19:31:23+00:00,11,29.58,68.94,7154.00,6627.00,4432.00,4469.00,0,1,,,,
2023-05-05T19:31:52+00:00,12,29.59,68.81,7085.00,6549.00,4406.00,4454.00,0,1,,,,
2023-05-05T19:32:21+00:00,13,29.61,68.74,7008.00,6480.00,4361.00,4422.00,0,1,,,,
2023-05-05T19:32:50+00:00,14,29.63,68.69,6968.00,6424.00,4349.00,4411.00,0,1,,,,
2023-05-05T19:33:19+00:00,15,29.64,68.74,6921.00,6370.00,4342.00,4416.00,0,1,,,,
2023-05-05T19:33:49+00:00,16,29.66,68.54,6831.00,6286.00,4297.00,4385.00,0,1,,,,
2023-05-05T19:34:18+00:00,17,29.69,68.40,6821.00,6272.00,4300.00,4367.00,0,1,,,,
2023-05-05T19:34:47+00:00,18,29.70,68.30,6841.00,6300.00,4344.00,4398.00,0,1,,,,
2023-05-05T19:35:16+00:00,19,29.72,68.23,6737.00,6160.00,4251.00,4322.00,0,1,,,,
2023-05-05T19:35:45+00:00,20,29.73,68.14,6763.00,6171.00,4320.00,4388.00,0,1,,,,
2023-05-05T19:36:15+00:00,21,29.75,68.23,6741.00,6152.00,4306.00,4360.00,0,1,,,,
2023-05-05T19:36:44+00:00,22,29.79,68.40,6669.00,6092.00,4255.00,4337.00,0,1,,,,
2023-05-05T19:37:13+00:00,23,29.80,68.24,6313.00,5721.00,3896.00,3981.00,0,1,,,,
2023-05-05T19:37:42+00:00,24,29.80,67.97,6272.00,5639.00,3878.00,4015.00,0,1,,,,
2023-05-05T19:38:12+00:00,25,29.81,67.80,6325.00,5714.00,4036.00,3924.00,0,1,,,,
2023-05-05T19:38:41+00:00,26,29.82,67.72,6358.00,5736.00,4091.00,4180.00,0,1,,,,
2023-05-05T19:39:10+00:00,27,29.83,67.65,6341.00,5695.00,4096.00,4244.00,0,1,,,,
2023-05-05T19:39:39+00:00,28,29.84,67.42,6398.00,5389.00,4304.00,4324.00,0,1,,,,
2023-05-05T19:40:42+00:00,29,29.83,67.25,6258.00,5583.00,4074.00,4152.00,0,1,,,,
2023-05-05T19:41:11+00:00,30,29.83,67.19,6192.00,5559.00,4017.00,4082.00,0,1,,,,
2023-05-05T19:42:16+00:00,31,29.83,67.11,6225.00,5569.00,4082.00,4159.00,0,1,,,,
2023-05-05T19:42:45+00:00,32,29.83,67.11,6246.00,5587.00,4119.00,4178.00,0,1,,,,
2023-05-05T19:43:14+00:00,33,29.83,67.10,6182.00,5545.00,4115.00,4144.00,0,1,,,,
2023-05-05T19:43:44+00:00,34,29.82,67.13,6172.00,5542.00,4104.00,4127.00,0,1,,,,
2023-05-05T19:44:13+00:00,35,29.82,67.02,6221.00,5550.00,4202.00,4206.00,0,1,,,,
2023-05-05T19:45:16+00:00,36,29.84,66.79,6255.00,5416.00,4075.00,4838.00,0,1,,,,
2023-05-05T19:45:45+00:00,37,29.83,66.82,6058.00,5425.00,4060.00,4060.00,0,1,,,,
2023-05-05T19:46:14+00:00,38,29.84,66.88,6023.00,5382.00,4044.00,4020.00,0,1,,,,
2023-05-05T19:46:43+00:00,39,29.85,66.79,5969.00,5335.00,4025.00,3997.00,0,1,,,,
2023-05-05T19:47:12+00:00,40,29.86,66.83,5987.00,5359.00,4047.00,4017.00,0,1,,,,
2023-05-05T19:47:41+00:00,41,29.85,66.70,6030.00,5393.00,4067.00,4030.00,0,1,,,,
2023-05-05T19:48:10+00:00,42,29.85,66.82,5914.00,5269.00,3980.00,3941.00,0,1,,,,
2023-05-05T19:48:39+00:00,43,29.87,66.84,5932.00,5287.00,4010.00,3962.00,0,1,,,,
2023-05-05T19:49:08+00:00,44,29.86,67.56,5955.00,5287.00,4019.00,3965.00,0,1,,,,
2023-05-05T19:49:38+00:00,45,29.87,67.30,5914.00,5263.00,4003.00,3952.00,0,1,,,,
2023-05-05T19:50:06+00:00,46,29.88,67.64,5951.00,5287.00,4032.00,3985.00,0,1,,,,
2023-05-05T19:50:35+00:00,47,29.90,67.66,5913.00,5250.00,4015.00,3943.00,0,1,,,,
2023-05-05T19:51:04+00:00,48,29.90,67.10,5687.00,5062.00,3825.00,3740.00,0,1,,,,
2023-05-05T19:51:34+00:00,49,29.90,66.90,5741.00,5062.00,3864.00,3765.00,0,1,,,,
2023-05-05T19:52:03+00:00,50,29.92,67.15,5916.00,5243.00,4055.00,3972.00,0,1,,,,
2023-05-05T19:52:32+00:00,51,29.92,67.12,6013.00,5313.00,4127.00,4051.00,0,1,,,,
2023-05-05T19:53:01+00:00,52,29.93,66.97,5949.00,5249.00,4040.00,3972.00,0,1,,,,
2023-05-05T19:53:30+00:00,53,29.94,66.92,5923.00,5205.00,4023.00,3934.00,0,1,,,,
2023-05-05T19:53:59+00:00,54,29.94,66.88,5907.00,5216.00,4025.00,3938.00,0,1,,,,
2023-05-05T19:54:28+00:00,55,29.94,66.85,5924.00,5229.00,4035.00,3963.00,0,1,,,,
2023-05-05T19:54:57+00:00,56,29.95,66.70,5920.00,5220.00,4031.00,3948.00,0,1,,,,
2023-05-05T19:55:27+00:00,57,29.96,66.65,5953.00,5255.00,4068.00,3988.00,0,1,,,,
2023-05-05T19:56:30+00:00,58,29.97,66.57,6017.00,5329.00,4162.00,4060.00,0,1,,,,
2023-05-05T19:56:59+00:00,59,29.97,66.64,6052.00,5340.00,4177.00,4091.00,0,1,,,,
2023-05-05T19:57:28+00:00,60,29.97,66.58,6052.00,5325.00,4156.00,4076.00,0,1,,,,
2023-05-05T19:57:57+00:00,61,29.98,66.58,6047.00,5324.00,4151.00,4073.00,0,1,,,,
2023-05-05T19:58:27+00:00,62,29.98,66.61,5996.00,5254.00,4071.00,3973.00,0,1,,,,
2023-05-05T19:58:56+00:00,63,29.98,66.63,5983.00,5277.00,4097.00,4008.00,0,1,,,,
2023-05-05T19:59:25+00:00,64,29.98,66.71,6099.00,5351.00,4217.00,4097.00,0,1,,,,
2023-05-05T19:59:54+00:00,65,29.99,66.62,5956.00,5252.00,4086.00,3972.00,0,1,,,,
2023-05-05T20:00:24+00:00,66,30.00,66.43,5941.00,5274.00,4169.00,3936.00,0,1,,,,
2023-05-05T20:00:54+00:00,67,30.00,66.59,5975.00,5276.00,4141.00,4007.00,0,1,,,,
2023-05-05T20:01:23+00:00,68,30.00,66.50,5963.00,5259.00,4118.00,3977.00,0,1,,,,
2023-05-05T20:01:52+00:00,69,30.01,66.40,5922.00,5220.00,4087.00,3938.00,0,1,,,,
2023-05-05T20:02:55+00:00,70,30.03,66.29,5897.00,5226.00,4094.00,3930.00,0,1,,,,
2023-05-05T20:03:24+00:00,71,30.02,66.24,5881.00,5227.00,4104.00,3945.00,0,1,,,,
2023-05-05T20:03:53+00:00,72,30.02,66.30,5912.00,5226.00,4107.00,3947.00,0,1,,,,
2023-05-05T20:04:22+00:00,73,30.02,66.33,5914.00,5222.00,4111.00,3951.00,0,1,,,,
2023-05-05T20:04:51+00:00,74,30.02,66.25,5910.00,5223.00,4102.00,3938.00,0,1,,,,
2023-05-05T20:05:20+00:00,75,30.01,66.19,5910.00,5221.00,4120.00,3943.00,0,1,,,,
2023-05-05T20:05:49+00:00,76,30.02,66.29,5908.00,5222.00,4120.00,3954.00,0,1,,,,
2023-05-05T20:06:19+00:00,77,30.01,66.25,5914.00,5226.00,4129.00,3958.00,0,1,,,,
2023-05-05T20:06:48+00:00,78,30.02,66.24,5916.00,5217.00,4122.00,3954.00,0,1,,,,
