Temp,Humi,Date&Time
 32.9¡æ, 69.8%RH,2023-05-23 21:45:35
 32.9¡æ, 69.9%RH,2023-05-23 21:46:06
 32.9¡æ, 70.1%RH,2023-05-23 21:46:37
 32.9¡æ, 70.3%RH,2023-05-23 21:47:08
 32.9¡æ, 70.3%RH,2023-05-23 21:47:39
 32.9¡æ, 70.3%RH,2023-05-23 21:48:10
 32.9¡æ, 70.3%RH,2023-05-23 21:48:41
 32.9¡æ, 70.2%RH,2023-05-23 21:49:12
 33.0¡æ, 70.1%RH,2023-05-23 21:49:43
 33.0¡æ, 70.1%RH,2023-05-23 21:50:14
 33.1¡æ, 70.0%RH,2023-05-23 21:50:45
 33.1¡æ, 69.8%RH,2023-05-23 21:51:16
 33.1¡æ, 69.7%RH,2023-05-23 21:51:47
 33.1¡æ, 69.6%RH,2023-05-23 21:52:18
 33.2¡æ, 69.4%RH,2023-05-23 21:52:49
 33.2¡æ, 69.3%RH,2023-05-23 21:53:20
 33.3¡æ, 69.2%RH,2023-05-23 21:53:51
 33.3¡æ, 69.1%RH,2023-05-23 21:54:22
 33.3¡æ, 68.9%RH,2023-05-23 21:54:53
 33.4¡æ, 68.8%RH,2023-05-23 21:55:24
 33.4¡æ, 68.7%RH,2023-05-23 21:55:55
 33.4¡æ, 68.5%RH,2023-05-23 21:56:26
 33.5¡æ, 68.4%RH,2023-05-23 21:56:57
 33.5¡æ, 68.3%RH,2023-05-23 21:57:28
 33.5¡æ, 68.2%RH,2023-05-23 21:57:59
 33.6¡æ, 68.0%RH,2023-05-23 21:58:30
 33.6¡æ, 67.9%RH,2023-05-23 21:59:01
 33.6¡æ, 67.8%RH,2023-05-23 21:59:32
 33.7¡æ, 67.7%RH,2023-05-23 22:00:03
 33.7¡æ, 67.6%RH,2023-05-23 22:00:34
 33.7¡æ, 67.5%RH,2023-05-23 22:01:05
 33.7¡æ, 67.3%RH,2023-05-23 22:01:36
 33.8¡æ, 67.3%RH,2023-05-23 22:02:07
 33.8¡æ, 67.2%RH,2023-05-23 22:02:38
 33.8¡æ, 67.1%RH,2023-05-23 22:03:09
 33.9¡æ, 66.9%RH,2023-05-23 22:03:40
 33.9¡æ, 66.8%RH,2023-05-23 22:04:11
 33.9¡æ, 66.7%RH,2023-05-23 22:04:42
 33.9¡æ, 66.6%RH,2023-05-23 22:05:13
 33.9¡æ, 66.5%RH,2023-05-23 22:05:44
 34.0¡æ, 66.5%RH,2023-05-23 22:06:15
 34.0¡æ, 66.3%RH,2023-05-23 22:06:46
 34.0¡æ, 66.2%RH,2023-05-23 22:07:17
 34.0¡æ, 66.2%RH,2023-05-23 22:07:48
 34.1¡æ, 66.0%RH,2023-05-23 22:08:19
 34.1¡æ, 65.9%RH,2023-05-23 22:08:50
 34.1¡æ, 65.9%RH,2023-05-23 22:09:21
 34.1¡æ, 65.8%RH,2023-05-23 22:09:52
 34.1¡æ, 65.7%RH,2023-05-23 22:10:23
 34.2¡æ, 65.7%RH,2023-05-23 22:10:54
 34.2¡æ, 65.6%RH,2023-05-23 22:11:25
 34.2¡æ, 65.5%RH,2023-05-23 22:11:56
 34.2¡æ, 65.5%RH,2023-05-23 22:12:27
 34.2¡æ, 65.4%RH,2023-05-23 22:12:58
 34.2¡æ, 65.3%RH,2023-05-23 22:13:29
 34.2¡æ, 65.2%RH,2023-05-23 22:14:00
 34.3¡æ, 65.2%RH,2023-05-23 22:14:31
 34.3¡æ, 65.2%RH,2023-05-23 22:15:02
 34.3¡æ, 65.1%RH,2023-05-23 22:15:33
 34.3¡æ, 65.0%RH,2023-05-23 22:16:04
 34.3¡æ, 65.0%RH,2023-05-23 22:16:35
 34.3¡æ, 64.9%RH,2023-05-23 22:17:06
 34.3¡æ, 64.8%RH,2023-05-23 22:17:37
 34.3¡æ, 64.8%RH,2023-05-23 22:18:08
 34.4¡æ, 64.7%RH,2023-05-23 22:18:39
 34.4¡æ, 64.6%RH,2023-05-23 22:19:10
 34.4¡æ, 64.6%RH,2023-05-23 22:19:41
 34.4¡æ, 64.6%RH,2023-05-23 22:20:12
 34.4¡æ, 64.5%RH,2023-05-23 22:20:43
 34.4¡æ, 64.5%RH,2023-05-23 22:21:14
