STATE,SHOW,UNIT,TIME
    NORM,589,       PPM,27/06/2023 11:54
    NORM,589,       PPM,27/06/2023 11:54
    NORM,590,       PPM,27/06/2023 11:54
    NORM,591,       PPM,27/06/2023 11:54
    NORM,591,       PPM,27/06/2023 11:54
    NORM,591,       PPM,27/06/2023 11:54
    NORM,591,       PPM,27/06/2023 11:54
    NORM,590,       PPM,27/06/2023 11:54
    NORM,589,       PPM,27/06/2023 11:55
    NORM,588,       PPM,27/06/2023 11:55
    NORM,587,       PPM,27/06/2023 11:55
    NORM,586,       PPM,27/06/2023 11:55
    NORM,586,       PPM,27/06/2023 11:55
    NORM,585,       PPM,27/06/2023 11:55
    NORM,585,       PPM,27/06/2023 11:55
    NORM,586,       PPM,27/06/2023 11:55
    NORM,586,       PPM,27/06/2023 11:55
    NORM,586,       PPM,27/06/2023 11:55
    NORM,586,       PPM,27/06/2023 11:55
    NORM,586,       PPM,27/06/2023 11:55
    NORM,586,       PPM,27/06/2023 11:56
    NORM,586,       PPM,27/06/2023 11:56
    NORM,586,       PPM,27/06/2023 11:56
    NORM,586,       PPM,27/06/2023 11:56
    NORM,586,       PPM,27/06/2023 11:56
    NORM,586,       PPM,27/06/2023 11:56
    NORM,587,       PPM,27/06/2023 11:56
    NORM,588,       PPM,27/06/2023 11:56
    NORM,588,       PPM,27/06/2023 11:56
    NORM,588,       PPM,27/06/2023 11:56
    NORM,588,       PPM,27/06/2023 11:56
    NORM,588,       PPM,27/06/2023 11:56
    NORM,588,       PPM,27/06/2023 11:57
    NORM,588,       PPM,27/06/2023 11:57
    NORM,588,       PPM,27/06/2023 11:57
    NORM,588,       PPM,27/06/2023 11:57
    NORM,588,       PPM,27/06/2023 11:57
    NORM,588,       PPM,27/06/2023 11:57
    NORM,588,       PPM,27/06/2023 11:57
    NORM,588,       PPM,27/06/2023 11:57
    NORM,587,       PPM,27/06/2023 11:57
    NORM,587,       PPM,27/06/2023 11:57
    NORM,587,       PPM,27/06/2023 11:57
    NORM,587,       PPM,27/06/2023 11:57
    NORM,588,       PPM,27/06/2023 11:58
