PM2.5,PM10,Date&Time
   8mg/m3,   9mg/m3,2020-02-04 12:00:21
  10mg/m3,  11mg/m3,2020-02-04 12:00:26
  10mg/m3,  11mg/m3,2020-02-04 12:00:31
   9mg/m3,  10mg/m3,2020-02-04 12:00:36
   9mg/m3,  10mg/m3,2020-02-04 12:00:41
  11mg/m3,  12mg/m3,2020-02-04 12:00:46
  11mg/m3,  12mg/m3,2020-02-04 12:00:51
  11mg/m3,  12mg/m3,2020-02-04 12:00:56
  12mg/m3,  13mg/m3,2020-02-04 12:01:01
  11mg/m3,  12mg/m3,2020-02-04 12:01:06
  11mg/m3,  13mg/m3,2020-02-04 12:01:11
  13mg/m3,  14mg/m3,2020-02-04 12:01:16
  11mg/m3,  12mg/m3,2020-02-04 12:01:21
  11mg/m3,  13mg/m3,2020-02-04 12:01:26
  12mg/m3,  14mg/m3,2020-02-04 12:01:31
  12mg/m3,  13mg/m3,2020-02-04 12:01:36
  11mg/m3,  12mg/m3,2020-02-04 12:01:41
  12mg/m3,  13mg/m3,2020-02-04 12:01:46
  11mg/m3,  13mg/m3,2020-02-04 12:01:51
  12mg/m3,  14mg/m3,2020-02-04 12:01:56
  12mg/m3,  14mg/m3,2020-02-04 12:02:01
  12mg/m3,  15mg/m3,2020-02-04 12:02:06
  11mg/m3,  12mg/m3,2020-02-04 12:02:11
  10mg/m3,  11mg/m3,2020-02-04 12:02:16
   9mg/m3,  10mg/m3,2020-02-04 12:02:21
   9mg/m3,  10mg/m3,2020-02-04 12:02:26
  10mg/m3,  11mg/m3,2020-02-04 12:02:31
  10mg/m3,  12mg/m3,2020-02-04 12:02:36
  10mg/m3,  12mg/m3,2020-02-04 12:02:41
  10mg/m3,  11mg/m3,2020-02-04 12:02:46
   9mg/m3,  11mg/m3,2020-02-04 12:02:51
   8mg/m3,  10mg/m3,2020-02-04 12:02:56
   6mg/m3,   7mg/m3,2020-02-04 12:03:01
   8mg/m3,   9mg/m3,2020-02-04 12:03:06
   8mg/m3,   9mg/m3,2020-02-04 12:03:11
   9mg/m3,  10mg/m3,2020-02-04 12:03:16
   9mg/m3,  11mg/m3,2020-02-04 12:03:21
