created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2023-06-29T07:59:59+00:00,1,28.47,75.94,5418.00,7921.00,4406.00,5434.00,0,1,,,,
2023-06-29T08:00:29+00:00,2,28.46,75.75,5283.00,8034.00,4405.00,5466.00,0,1,,,,
2023-06-29T08:00:58+00:00,3,28.67,75.35,5943.00,8556.00,4270.00,5516.00,0,1,,,,
2023-06-29T08:02:04+00:00,4,29.01,75.41,6483.00,9416.00,4270.00,5670.00,0,1,,,,
2023-06-29T08:02:33+00:00,5,28.84,74.88,5040.00,8109.00,4297.00,5376.00,0,1,,,,
2023-06-29T08:03:02+00:00,6,28.67,75.03,5085.00,8009.00,4276.00,5292.00,0,1,,,,
2023-06-29T08:04:03+00:00,7,28.58,74.97,5483.00,8437.00,4288.00,5498.00,0,1,,,,
2023-06-29T08:04:31+00:00,8,28.55,75.17,4854.00,7700.00,4286.00,5248.00,0,1,,,,
2023-06-29T08:05:00+00:00,9,28.89,74.39,4972.00,8434.00,4106.00,5467.00,0,1,,,,
2023-06-29T08:05:29+00:00,10,28.78,73.89,4727.00,8579.00,4354.00,5686.00,0,1,,,,
2023-06-29T08:05:58+00:00,11,29.59,71.65,6187.00,9166.00,4296.00,5870.00,0,1,,,,
2023-06-29T08:06:27+00:00,12,28.95,72.64,4125.00,6411.00,4239.00,5149.00,0,1,,,,
2023-06-29T08:06:56+00:00,13,28.96,73.21,4065.00,6458.00,4217.00,5084.00,0,1,,,,
2023-06-29T08:07:25+00:00,14,29.76,70.28,4883.00,8546.00,4169.00,5544.00,0,1,,,,
2023-06-29T08:07:54+00:00,15,30.11,69.01,5020.00,8268.00,4192.00,5544.00,0,1,,,,
2023-06-29T08:08:23+00:00,16,30.01,68.57,4505.00,7182.00,4205.00,5264.00,0,1,,,,
2023-06-29T08:08:52+00:00,17,30.03,68.85,4582.00,7494.00,4183.00,5290.00,0,1,,,,
2023-06-29T08:09:21+00:00,18,29.68,69.64,4530.00,7513.00,4180.00,5354.00,0,1,,,,
2023-06-29T08:09:50+00:00,19,29.86,69.76,4507.00,7265.00,4161.00,5257.00,0,1,,,,
2023-06-29T08:10:19+00:00,20,30.03,69.21,5759.00,8938.00,4148.00,5662.00,0,1,,,,
2023-06-29T08:10:48+00:00,21,29.34,70.38,5131.00,7601.00,4157.00,5276.00,0,1,,,,
2023-06-29T08:11:17+00:00,22,29.79,69.19,4434.00,7315.00,4158.00,5263.00,0,1,,,,
2023-06-29T08:11:46+00:00,23,29.32,70.04,4396.00,7496.00,4166.00,5225.00,0,1,,,,
2023-06-29T08:12:14+00:00,24,29.60,70.15,4410.00,7410.00,4175.00,5250.00,0,1,,,,
2023-06-29T08:12:43+00:00,25,30.35,67.15,5305.00,8265.00,4130.00,5562.00,0,1,,,,
2023-06-29T08:13:12+00:00,26,29.80,67.94,4040.00,6665.00,4157.00,5150.00,0,1,,,,
2023-06-29T08:13:41+00:00,27,29.95,68.14,4834.00,7763.00,4133.00,5313.00,0,1,,,,
2023-06-29T08:14:40+00:00,28,30.09,68.54,5603.00,9405.00,4126.00,5706.00,0,1,,,,
2023-06-29T08:15:09+00:00,29,29.88,68.38,4085.00,6678.00,4139.00,5086.00,0,1,,,,
2023-06-29T08:15:38+00:00,30,30.04,67.87,4202.00,6894.00,4133.00,5201.00,0,1,,,,
2023-06-29T08:16:07+00:00,31,30.24,68.21,4506.00,7965.00,4126.00,5396.00,0,1,,,,
2023-06-29T08:16:36+00:00,32,30.10,67.36,4255.00,6854.00,4141.00,5171.00,0,1,,,,
2023-06-29T08:17:05+00:00,33,29.98,68.86,4414.00,7079.00,4126.00,5193.00,0,1,,,,
2023-06-29T08:17:34+00:00,34,30.04,68.08,4767.00,8070.00,4121.00,5292.00,0,1,,,,
2023-06-29T08:18:02+00:00,35,29.96,69.54,5438.00,8512.00,4115.00,5482.00,0,1,,,,
2023-06-29T08:18:31+00:00,36,29.65,69.88,4691.00,7539.00,4139.00,5287.00,0,1,,,,
2023-06-29T08:19:00+00:00,37,29.74,70.10,4526.00,7191.00,4126.00,5187.00,0,1,,,,
2023-06-29T08:19:29+00:00,38,29.72,69.08,4109.00,6546.00,4141.00,5062.00,0,1,,,,
2023-06-29T08:19:58+00:00,39,29.71,70.09,4220.00,7131.00,4143.00,5090.00,0,1,,,,
2023-06-29T08:20:27+00:00,40,29.90,69.52,4632.00,7543.00,4126.00,5270.00,0,1,,,,
2023-06-29T08:20:56+00:00,41,30.24,68.66,5802.00,9661.00,4107.00,5760.00,0,1,,,,
2023-06-29T08:21:25+00:00,42,30.09,69.07,4898.00,7808.00,4103.00,5326.00,0,1,,,,
2023-06-29T08:21:54+00:00,43,30.21,68.10,5617.00,9353.00,4123.00,5627.00,0,1,,,,
2023-06-29T08:22:23+00:00,44,29.17,70.47,4560.00,7025.00,4105.00,5382.00,0,1,,,,
2023-06-29T08:22:52+00:00,45,29.85,68.12,5081.00,7785.00,4090.00,5351.00,0,1,,,,
2023-06-29T08:23:20+00:00,46,30.77,66.72,5791.00,9137.00,4094.00,5665.00,0,1,,,,
2023-06-29T08:23:49+00:00,47,30.43,65.99,5406.00,8232.00,4092.00,5534.00,0,1,,,,
2023-06-29T08:24:18+00:00,48,30.04,67.75,4018.00,6443.00,4124.00,5188.00,0,1,,,,
2023-06-29T08:24:47+00:00,49,30.14,67.18,4762.00,7391.00,4102.00,5274.00,0,1,,,,
2023-06-29T08:25:19+00:00,50,30.39,67.50,5137.00,8172.00,4102.00,5475.00,0,1,,,,
2023-06-29T08:25:48+00:00,51,30.68,66.42,4472.00,7621.00,4111.00,5442.00,0,1,,,,
2023-06-29T08:26:17+00:00,52,30.93,65.12,4708.00,7213.00,4114.00,5416.00,0,1,,,,
2023-06-29T08:26:46+00:00,53,30.72,66.15,5034.00,7902.00,4116.00,5619.00,0,1,,,,
2023-06-29T08:27:15+00:00,54,30.18,67.50,4199.00,6778.00,4108.00,5152.00,0,1,,,,
2023-06-29T08:27:45+00:00,55,30.01,69.40,5456.00,8606.00,4076.00,5601.00,0,1,,,,
2023-06-29T08:28:13+00:00,56,29.30,71.15,4213.00,6398.00,4101.00,5108.00,0,1,,,,
2023-06-29T08:28:43+00:00,57,30.01,69.11,5449.00,8729.00,4082.00,5524.00,0,1,,,,
2023-06-29T08:29:11+00:00,58,29.63,69.36,5554.00,8515.00,4090.00,5518.00,0,1,,,,
2023-06-29T08:29:40+00:00,59,29.62,69.83,4995.00,8024.00,4088.00,5505.00,0,1,,,,
2023-06-29T08:30:09+00:00,60,29.39,71.32,3907.00,6021.00,4092.00,5002.00,0,1,,,,
2023-06-29T08:30:38+00:00,61,28.77,73.00,4555.00,8166.00,4071.00,5412.00,0,1,,,,
2023-06-29T08:31:07+00:00,62,29.41,71.30,5622.00,8859.00,4038.00,5588.00,0,1,,,,
2023-06-29T08:31:36+00:00,63,29.35,70.56,4225.00,6819.00,4062.00,5158.00,0,1,,,,
2023-06-29T08:32:05+00:00,64,29.03,71.61,4506.00,6947.00,4071.00,5155.00,0,1,,,,
2023-06-29T08:32:34+00:00,65,28.90,73.73,4624.00,7175.00,4023.00,5520.00,0,1,,,,
2023-06-29T08:33:03+00:00,66,28.95,72.45,4182.00,7387.00,4057.00,5256.00,0,1,,,,
2023-06-29T08:33:32+00:00,67,28.54,73.55,4213.00,6367.00,4077.00,5091.00,0,1,,,,
2023-06-29T08:34:00+00:00,68,27.72,75.44,3909.00,6357.00,4054.00,4966.00,0,1,,,,
2023-06-29T08:34:29+00:00,69,29.08,72.21,5372.00,8162.00,4017.00,5482.00,0,1,,,,
2023-06-29T08:35:32+00:00,70,28.44,74.51,4149.00,6836.00,4040.00,5272.00,0,1,,,,
2023-06-29T08:36:01+00:00,71,28.29,74.51,4025.00,7097.00,4050.00,5245.00,0,1,,,,
2023-06-29T08:36:30+00:00,72,28.06,75.50,3847.00,6054.00,4049.00,4951.00,0,1,,,,
2023-06-29T08:36:59+00:00,73,28.80,73.19,4667.00,8243.00,4025.00,5530.00,0,1,,,,
2023-06-29T08:37:28+00:00,74,28.88,71.90,5232.00,7597.00,4015.00,5376.00,0,1,,,,
2023-06-29T08:37:57+00:00,75,27.98,74.55,3748.00,6036.00,4045.00,4974.00,0,1,,,,
2023-06-29T08:38:26+00:00,76,29.09,72.47,5173.00,7853.00,4021.00,5568.00,0,1,,,,
2023-06-29T08:38:55+00:00,77,29.09,72.64,4363.00,7316.00,4054.00,5278.00,0,1,,,,
2023-06-29T08:39:24+00:00,78,29.08,73.16,4737.00,7264.00,4036.00,5206.00,0,1,,,,
2023-06-29T08:39:52+00:00,79,29.49,72.17,4457.00,7547.00,4039.00,5332.00,0,1,,,,
2023-06-29T08:40:55+00:00,80,29.27,72.72,4029.00,6049.00,4072.00,4999.00,0,1,,,,
2023-06-29T08:41:24+00:00,81,29.63,72.12,4906.00,7560.00,4046.00,5306.00,0,1,,,,
2023-06-29T08:41:53+00:00,82,29.35,72.25,4357.00,6564.00,4055.00,5149.00,0,1,,,,
2023-06-29T08:42:23+00:00,83,29.23,72.83,4456.00,7037.00,4036.00,5235.00,0,1,,,,
2023-06-29T08:42:52+00:00,84,29.82,71.18,5440.00,8687.00,4035.00,5612.00,0,1,,,,
2023-06-29T08:43:21+00:00,85,30.01,69.46,4984.00,7634.00,4052.00,5426.00,0,1,,,,
2023-06-29T08:43:51+00:00,86,29.14,71.92,4964.00,7520.00,4045.00,5318.00,0,1,,,,
2023-06-29T08:44:21+00:00,87,28.40,73.14,4525.00,7260.00,4058.00,5219.00,0,1,,,,
2023-06-29T08:44:51+00:00,88,29.17,71.17,5059.00,7903.00,4027.00,5441.00,0,1,,,,
2023-06-29T08:45:21+00:00,89,29.65,70.58,4690.00,7523.00,3977.00,5585.00,0,1,,,,
